word_original,synset,senses,definitions
basin,bn:00071766n,"['水槽', '盥洗盆', '洗手盆']",['盥洗盆，又名洗手盆、洗臉盆、洗臉台、洗手台、洗手池、水池、水槽，是浴室和廚房設備。']
basket,bn:00008872n,"['籃', '手提篮', '篮子']",['籃俗稱籃子，是由剛性纖維製成的容器，材料包括但不限於木、竹、藤、金屬或毛髮，籃子通常以手編織而成。']
bath,bn:00008995n,['浴室'],['浴室，又名沐浴室、沐浴間，粵語稱沖涼房，閩南語稱浴間仔（e̍k-keng-á）是用於沐浴或淋浴的房間，常見設備包括花灑、浴缸及盥洗盆，有些地區中的浴室會和廁所合併，因此浴室中也會有馬桶，也有些地區因為卫生因素考量，會將浴室和廁所分離。']
bed,bn:00009472n,"['床', '睡铺', '卧榻', '床鋪', '臥榻', '睡鋪', '床铺']","['床，亦寫作牀、眠床，是供人躺在上面睡覺的家具。', '床铺。']"
bee,bn:00009524n,"['蜂', '蜜蜂', '蜂族', '花蜂類', '蜡蜂', '蠟蜂']",['花蜂类（學名：Anthophila）是膜翅目、蜜蜂总科下的一個演化支，与黄蜂和蚂蚁是近亲，因能传递花粉及生产蜂蜜和蜂蜡而知名。']
bell,bn:00009728n,"['门铃', '門鈴', '电铃', '電鈴']",['門鐘（又稱門鈴，英語：Doorbell），指安裝在門上的鈴，為一個用於提醒屋內的人門外有人的信號裝置，以便屋主前往開門。']
berry,bn:00010066n,"['莓果', '浆果', '莓']",['莓果是一種小的、果肉狀的且可經常食用的水果。']
bird,bn:00010605n,"['鳥', '飛鳥', '飛烏', '鸟', '飞鸟', '鸟儿', '鳥兒', '鸟纲', '禽', '雀', '鸟类']","['鸟或者鳥類，是鸟纲（学名：Aves）动物的通称，是唯一存活並演化至今的恐龍，其全体成员均为两足、恒温、卵生、身披羽毛且色彩鮮艷各異、前肢特化成翅膀、具有坚硬的喙，多數可飛行，小部分純陆生或水生，骨骼中空輕盈並有強力肌肉附著，以及唯一能使用氣囊行雙重呼吸的動物。', '一類恆溫、卵生、前肢特化為翅膀的脊椎動物', '组成鸟纲(Aves)的任一温血脊椎动物。']"
blade,bn:00011081n,"['劍', '剑', '刀']","['劍，是一种尖頂且雙邊開鋒的冷兵器，是種可以用来刺击和砍杀的武器。', '冷兵器']"
board,bn:00021015n,"['调查团', '委员会', '考察团', '委員會']",['一种组织形式']
boat,bn:00011674n,"['无篷小船', '舟', '船', '小船', '艇']","['艇是一種在水面滑行或飄浮的中小型船，通常排水量低於500噸，在內陸水域（湖泊或河流）或沿海地區航行，不過也有設計作近海航行的，如捕鯨划艇。', '較小的船隻']"
bone,bn:00011999n,"['骨头', '骨頭', '骨', '骨骼', '骨质', '骨質', '骨架']","['骨骼（bone）简称骨，是組成脊椎動物內骨骼的堅硬器官，功能是運動、支持和保護身體，及儲藏礦物質。', '組成脊椎動物內骨骼的堅硬器官']"
book,bn:00012059n,"['書', '书籍', '書籍', '书', '圖書', '图书']","['圖書，是一堆帶有和主題相關內容的紙張，带有文字或图像。', '由出版社（商）出版的印刷品。', '帶有文字或圖像的紙張的集合']"
boot,bn:00012166n,"['靴', '皮靴', '靴子', '长靴']",['靴是一種鞋類，穿著於腳上並最少掩蓋腳掌、足踝，可伸展至小腿甚至膝蓋。']
bottle,bn:00012339n,"['瓶', '瓶子']",['瓶，又稱瓶子，一般指口部比腹部窄小、頸長的容器，多數由陶瓷、玻璃、塑膠或鋁等不容易滲漏的物料製造。']
box,bn:00012524n,"['盒', '盒子', '箱', '箱子']",['盒，又稱盒子，是一种盛載物件的容器。']
boy,bn:00012569n,"['男孩', '男子', '男孩子', '少年']","['男孩、男童或男孩兒，意於是雄性的人類兒童或青少年，為相對於雌性兒童（即女孩）。', '年幼雄性人类']"
brain,bn:00012681n,"['头脑', '脑海', '头', '脑袋', '精神', '心智', '心靈', '智性', '心灵']","['智性（英語：Nous，希臘語：νοῦς），也譯為知性、理智、理智直覺、努斯，哲學術語。', '心智（英語：mind，亦常稱為心靈）指一系列认知能力组成的总体，这些能力可以让个体具有意识、感知外界、进行思考、做出判断以及记忆事物。', '在心理學中，心靈（psyche）指的是人類心智的整體，包括意識和潛意識。']"
brake,bn:00012710n,"['煞車', '刹车', '制动器', '闸']",['煞車或剎車，是指一種令交通工具從前進中停止下來的制動系統，透過使车辆車輪的轉動減慢來停車。']
branch,bn:00029676n,"['经济学', '經濟學', '政治经济学']","['政治经济学（英語：Political economy）是一門跨領域的社會科學，旨在研究政治結構與經濟決策的互動關係。', '經濟學（英語：Economics），為研究商品和服務關係的社會科學學門，包括其中所有的購買、生產、分配和消費等行為。', '锂（Lithium）是一种化学元素，其化学符号Li，原子序数为3，三个电子中两个分布在K层，另一个在L层。', '学科', '學科']"
brick,bn:00013047n,"['磚塊', '磚', '砖块', '磚頭', '砖', '砖头']","['砖（英語：Brick），通俗叫法為磚頭、磚塊，在東亞古代稱煉瓦，是一种由泥土燒製的长方体建築部件。', '人造的方形石块，用于建筑材料。', '建筑材料']"
bridge,bn:00013077n,"['橋', '桥', '桥梁']","['橋或橋梁是跨越峽谷、山谷、道路、鐵路、河流、其他水域、或其他障礙而建造的結構，是一種由水面或地面突出來的高架，用來連着橋頭橋尾兩邊路。', '跨越物理障碍的建筑结构']"
brush,bn:00013489n,"['刷', '刷子']",['刷子，或稱抿子，是一种用於清潔用途的日用品，它一邊是手柄，另一邊是毛，例如剛毛。']
bucket,bn:00013590n,"['水桶', '吊桶', '桶']",['水桶是一種有水密性質，且有開口及底部的圓柱體，通常附有提把。']
bulb,bn:00013745n,"['灯泡', '电灯', '电灯泡', '白熱燈', '白炽灯', '電光源', '白熾燈', '白热灯', '白熾燈泡']","['电光源，能夠把電能轉化為光能的設備。', '白熾（chì）燈，俗名鎢絲灯，是一種透過通電，利用電阻把幼細絲線（現代通常為鎢絲）加熱至白熾，用來發光的燈。', '一種透過通電，利用電阻把幼細絲線加熱至白熾，用來發光的燈']"
button,bn:00014305n,"['鈕扣', '钮', '扣子']","['鈕扣，也寫成紐扣或鈕釦，又稱扣子、紐或扣。', '用來鉤結的環狀物', '部份衣服的其中一個組件']"
cake,bn:00014609n,['蛋糕'],['蛋糕是一種由麵粉、糖和其他成分製成的甜食，通常經過烘烤製成。']
camera,bn:00015008n,"['照相機', '照相机', '相机']","['照相机（英語：Camera）广义是指任何可以捕捉和记录影像的设备，人类在日常普遍使用的照相机技术大致始于19世纪早期。', '記錄影像的設備']"
cart,bn:00016292n,"['手拉車', '手車', '手推車', '手车', '手推车', '搬運車', '手拉车']",['搬運車（英語：cart），或只稱為車，是用人力、獸力或發動機來發動的運輸工具，它與人力车近似。']
carriage,bn:00016241n,"['马车', '馬車', '車廂', '四轮马车']",['運送人員為主的馬車。']
cat,bn:00016606n,"['貓', '猫', '家貓']","['貓（cat）通常指家貓（學名：Felis catus，英語：domestic/house cat），是一种家养小型食肉哺乳动物，属中型貓科動物。', '原产于中东地区的小型肉食性家畜，被广泛作为宠物饲养']"
cheese,bn:00018038n,"['干酪', '奶酪', '乳酪', '芝士', '乾酪', '起司', '吉士', '酪', '起士']","['芝士，又名乳酪、奶酪，音譯芝士、起司、起士、吉士，是多種乳製芝士的通稱，有各式各樣的味道、口感和形式。', '常溫下通常為固體。', '半凝固或凝固的乳制品']"
chest,bn:00018208n,"['箱', '箱子']",['维基媒体列表条目']
chin,bn:00018426n,"['颔', '下巴頦', '下巴颏', '下巴', '頷', '颏', '下颚']",['頷（hàn），又称下巴、下颔、下顎、下頦、下巴颏，解剖术语称为下颌，是位于脊椎动物包括人类面部嘴唇以下的部位。']
church,bn:00018995n,"['教會', '教会', '教堂', '礼拜堂']","['教堂是进行宗教仪式的场所，一般特指基督宗教，包括天主教、東正教、新教等；天主教的教堂又可稱為「天主堂」；伊斯蘭教进行宗教仪式的场所一般称为清真寺或回教堂，猶太教从事宗教仪式和其它活动的场所中文亦称犹太教堂或猶太會堂。', '天主教、东正教、新教等基督宗教进行宗教仪式的场所。', '如猶太會堂', '為基督教崇拜而建造的建築']"
circle,bn:00019169n,"['圈子', '圆', '圓', '圆圈', '圓圈', '圓形', '圆形', '椭圆形']","['圆 （拉丁語：circulus，英語：circle），根據歐幾里得的《几何原本》定義，是在同一平面内到定点的距离等于定长的点的集合。', '形状和数学中的基本概念', '同一平面上，到定點的距離等於定長的所有點']"
clock,bn:00019887n,"['鐘錶', '时钟', '钟', '鐘', '時鐘', '钟表']","['時鐘（clock，timepiece）簡稱鐘，所有計時裝置都可以称为计时仪器。', '可報時的儀器', '一個量度和顯示時間的工具。', '一个量度和显示时间的工具。']"
cloud,bn:00020002n,"['雲', '云']",['雲是大氣層中以水為主，包含其他多种較少量化学物質构成的可见液滴或冰晶集合体，这些悬浮的颗粒物也称气溶胶。']
coat,bn:00047823n,"['夾克', '上衣', '夹克', '短上衣']",['夾克（法語：Jaquette；英語：Jacket），又稱茄克，是一種長度至腰部或臀部的上半身衣著。']
collar,bn:00005136n,"['逮捕', '捕捉']","['逮捕（英語：Arrest）是一種強制處分，指以強制力拘束人身自由，旨在為預防犯罪發生或確保刑事訴訟順利進行。', '法律用语']"
comb,bn:00020849n,"['梳篦', '头梳', '梳棉机', '篦', '梳子']",['梳，又稱梳子，古代又稱櫛，是整理頭髮的工具，通常形狀扁平，並帶有很多齒，有些梳子則只有一齒，形如細棒。']
cord,bn:00022592n,"['灯芯绒', '灯芯绒类布', '条绒']",['灯芯绒，又称灯草绒、条绒、趟绒，为表面有纵向绒条的织物面料。']
cow,bn:00012273n,"['牛', '家牛']","['宋庄镇为江苏省连云港市赣榆区下辖镇，濒临海州湾，与连云港港口隔海相望。', '家牛或称黄牛、歐洲牛（学名：Bos taurus）是哺乳類偶蹄目牛科牛亚科牛属中一群已經驯化的動物。', '哺乳類偶蹄目牛科牛亚科牛属中一群已經驯化的動物', '哺乳类偶蹄目牛科牛亚科牛属中已经驯化的动物']"
cup,bn:00024410n,"['杯子', '玻璃容器', '饮料玻璃', '杯']","['杯子，又稱盅，是一種用於盛裝液體以供傾倒或飲用的開頂容器。', '西川滿（にしかわ・みつる，1908年2月12日－1999年2月24日），生於日本福島縣會津若松市，台灣日治時期的作家與文藝工作者。', '可盛液体，顶部非闭合的容器']"
curtain,bn:00024534n,"['窗帘', '窗簾', '帘子', '簾', '簾子']",['簾，俗稱簾子，是提供遮蔽及保護的用品。']
cushion,bn:00024564n,"['阻尼器', '電休克', '觸電', '电休克', '触电']",['阻尼器（英語：shock absorber 或 damper）是一種利用阻尼特性來吸收或抑制衝量，藉以減緩力學振动及消耗動能的機械或液壓裝置。']
dog,bn:00015267n,"['犬', '狗']","['犬（学名：Canis lupus familiaris），通稱狗，一种常见的犬科哺乳动物，在生物学分类上是灰狼（Canis lupus）的一个亚種。', '食肉目犬科动物，在一些地方人们把狗称作地羊，特别是对于狗肉的避嫌，就像中国新疆等少数民族地区把猪肉称为大肉一样。', '由欧亚大陆的灰狼驯化而来的常见家畜，被广泛作为宠物或役用动物饲养']"
door,bn:00028247n,"['戶', '門', '门', '门儿', '門兒', '門扉']","['门（亦稱扉）在建筑学上是指在出入通道处所设可开关或转动的装置，一般是垂直于水平面的，其它也可根据需要而建造。', '一些建筑物出入口安裝的建築部件，通常可開關。']"
drain,bn:00034158n,"['门', '門', '场效应管']",['场效应管（英語：field-effect transistor，缩写：FET）是一种通过电场效应控制电流的电子元件。']
drawer,bn:00028639n,"['图画', '圖畫', '素描', '图片', '圖片', '绘图']",['素描是一种使用绘图的工具使其表现在二维材质上的视觉艺术和造型艺术，它的目的是在二维的畫紙上创造三维的立体形态。']
dress,bn:00006125n,"['衣服', '服装']","['服裝（亦稱為衣物、衣服、衣著）最廣義的定義，除了指軀幹與四肢的遮蔽物之外，還包括了手部（手套）、腳部（襪子、鞋子、涼鞋、拖鞋靴子）與頭部（帽子）的遮蔽物，以及延伸出来的服装配饰。', '网络词汇中缩写为YY，即衣衣，常见于女生聚集的二手货转卖版', '穿在人身上的覆蓋物']"
drop,bn:00028709n,"['水滴', '点滴']",['水滴，是小量的水體，能以任何形態出現。']
ear,bn:00029372n,"['耳', '耳朵']","['耳（ear）又称耳朵，是動物接收且感知聲波的器官（聽覺系統），哺乳类並有识别位置变动以維持身體平衡的功能（前庭系统，属平衡觉系统的一部分）。', '接收聲音及維持身體平衡的器官']"
egg,bn:00029914n,"['蛋', '雞蛋', '蛋类', '卵', '鸡蛋']","['蛋類食物已有數千年的歷史。', '雞蛋，是雞所生、帶有硬殼的卵。']"
engine,bn:00030850n,"['马达', '馬達', '發動機', '发动机', '引擎', '摩托']","['发动机（英語：motor ，音译马达）也称引擎（engine），泛指任何将储蓄的势能（燃料中的化學能、电网和电池中的电能、流体的机械能等等）转化为动能做功的机器，常見的引擎包含熱機（利用燃烧产生高热能高压气体推动活塞做功的蒸汽机、汽油機及柴油機）、电动机、液压机、气压机、喷气发动机等等。', '一种利用燃油爆炸的能量推动活塞，转换成动力的机械裝置。', '将其他形式能量转化为机械能的装置']"
eye,bn:00032512n,"['眼睛', '眼', '目', '睛球', '睛']","['眼（英語：eye）又称眼睛、目、目睭，是視覺的器官，可以感知光线，轉換為神經中電化學的脈衝。', '感知光線並將其轉換成神經訊號的器官', '人或动物的视觉器官。']"
face,bn:00032600n,"['臉', '脸', '面', '面孔', '人类的脸', '颜']","['臉（「臉」通「面」、臉又稱臉孔、臉龐、顏臉）是人類和動物的多種感覺器官的集合。', '人类和其他动物头的前部从额到下巴']"
farm,bn:00033676n,"['农场', '農場']","['約翰·洛克（John Locke，1632年8月29日－1704年10月28日）是英國的哲學家。', '農場，指農業生産單位、生産組織或生産企業，以從事農業生産或畜牧養殖爲主，經營各種農產品和畜牧産品。', '又名莊園，例如農莊、酒莊等']"
feather,bn:00033865n,"['羽毛', '鸟类羽毛', '羽', '换羽']","['羽毛是鸟类及一些獸腳亞目恐龍特有的结构，是表皮的角质化衍生物。', '羽毛的定期更换称为换羽，这是鸟类的一个重要的生物学现象。', '白俄罗斯共和国简称白俄罗斯（白俄羅斯語：Беларусь），是位于东欧的内陆国家，首都為明斯克，於1991年8月25日從苏联独立，於同年12月19日改稱白俄罗斯共和国。']"
finger,bn:00034565n,"['手指', '指头', '指頭', '手指头', '手指頭']",['手指是人或一些灵长类动物（例如猿）的手上的指头。']
fish,bn:00034816n,"['魚', '魚兒', '鱼', '鱼儿', '鱼类']","['魚類泛指动物界脊索動物門脊椎動物亞門中整个生命周期都依赖鳃进行呼吸并用鳍活动的水生动物。', '依赖水生活、呈鱼型动物的总称。', '水生變溫脊椎動物，種類極多，卵生或卵胎生，絕大部分用鰓呼吸']"
flag,bn:00034960n,"['旗', '旗帜', '旗幟', '旗子']","['旗幟或者旌旗是具有独特设计和颜色的布（最常见的是长方形或四边形）。', '泛指懸掛在桿上具有標誌性的布']"
floor,bn:00079476n,"['溪谷', '山谷', '谷地']","['谷、谷地，由两侧正地形夹峙的狭长负地形，常有坡面径流、河流、湖泊发育，陡峻的谷地可能有泥石流，在等高线地形图上表现为一组向高处突出的等高线。', '两侧正地形夹峙的狭长负地形', '地形']"
fly,bn:00035494n,"['蝇', '蠅', '雙翅目', '双翅目', '苍蝇']",['雙翅目（學名：Diptera）包括蚊、蠅、虻等昆蟲，包含200多个科的近16万现生物种以及近4000种化石，是昆蟲綱中居於鞘翅目、鱗翅目和膜翅目之後的第四大目。']
foot,bn:00035679n,"['腳', '脚', '脚部', '足']","['足，又称腳、跤，解剖学上指陸地脊椎動物腿的末端、支撑该生物的部分。', '在此指人類的腳/足']"
fork,bn:00035902n,"['叉子', '餐叉', '叉']",['在當代，叉子是日常西洋食具，輔助用者將食物帶到口中，亦可在烹飪或切割食物時抓住食物，免得食物移動。']
fowl,bn:00028155n,"['家禽', '雞雁小綱']","['家禽或禽鳥，指的是經過人類長期飼養、已經被馴化的鸟类动物全體，家禽的存在主要为了方便人類获取其肉、卵（蛋）和羽毛；不過也有作为其他用处，例如格鬥、寵物、通訊和看家等。', '雞雁小綱（學名：Galloanserae）是指雁形目及雞形目兩目的鳥類。', '人工飼養的鳥類動物']"
frame,bn:00003882n,"['人体', '体格', '肉体', '体形', '外形', '體型', '體質', '人体生理学', '體格', '体质', '体型', '身材']","['人體生理學是研究生物體如何運作的一門學問，也就是說，用來研究人體的功能。', '人体（Human body）是一个人的整个结构。', '单个人的全部结构和组织']"
garden,bn:00037300n,"['花園', '花园', '庭園', '園林', '种植园']","['園林也稱庭園，是一個經過安排的空間，通常位於室外。', '又称园林，经过安排的空间，通常位于室外']"
girl,bn:00034453n,"['女孩兒', '女儿', '姑娘', '女孩子', '女孩儿', '女兒', '女孩', '女', '女生']","['女孩（英語：Girl）是指年轻的（通常是儿童或青少年）女性。', '年幼雌性人類']"
glove,bn:00040736n,['手套'],"['手套是包裹手的服饰或保护器材。', '人类服饰']"
goat,bn:00015720n,"['山羊', '家山羊', '羊']",['山羊（学名：Capra aegagrus hircus）又稱夏羊、黑羊或羖羊，和綿羊一样，是最早被人類馴化的家畜之一。']
gun,bn:00042221n,"['槍', '銃', '枪', '铳', '枪械', '手枪', '枪炮']","['槍械，（英語：Gun）或稱銃械，簡稱槍或銃，其它舊稱有火銃、火槍、鐵炮，是所有（通常）依靠身管内的加压气体喷射抛射物来杀伤目标的远射武器的统称。', '一種把子彈透過不同形式發射出去的熱兵器', '口径在2厘米一下，发射枪弹的武器。']"
hair,bn:00042526n,"['发丝', '髮絲', '毛', '毛髮', '頭髮', '头发', '毛发']","['毛发是由皮膚中的毛囊長出的毛，屬於絲狀的蛋白質物質。', '从真皮中发现的毛囊生长的丝状生物材料']"
hammer,bn:00042730n,"['榔头', '锤子', '榔頭', '錘子', '槌']",['槌、鎚或榔頭是一種敲打的工具。']
hand,bn:00042759n,"['手', '前足', '前肢骨']","['手是人或其他灵长类动物臂前端的一部分，由五隻手指以及手掌組成，主要是用来抓和握住东西，两个手相互对称，互为镜像。', '手臂或前肢末端的四肢']"
hat,bn:00017718n,['帽子'],"['帽子是戴在頭部的服飾，有遮陽、擋雨、防塵、美觀、保護頭部等用途。', '戴在头上的服饰']"
heart,bn:00043383n,"['心脏', '心', '心臟', '胸口']","['心臟（英語：heart），簡稱心，是動物循環系統中推動血管内血液的肌造器官。', '血液循環器官之一', '较高等动物循环系统中一个主要器官']"
horn,bn:00022750n,"['小号', '口弦', '小號', '口簧琴', '喇叭', '短號']","['小號（英語：Trumpet），又稱小喇叭，是一種銅管樂器。', '短號（英語：cornet）是常見的三種高音銅管樂器之一，音色比小号柔和。', '一种铜管乐器，在管弦乐队、管乐队中经常使用。', '銅管樂器', '銅管樂器']"
horse,bn:00031345n,"['馬', '马']","['底格里斯河（دجلة\u200e、Dijla）是中东名河，与位于其西面的幼发拉底河共同界定美索不达米亚，源自土耳其安纳托利亚的山区，流经伊拉克，最后与幼发拉底河合流成为阿拉伯河注入波斯湾。', '馬（学名：Equus ferus caballus）是一种草食性家畜，是野马的亚种，广泛分布于世界各地。', '一種被人類用作騎乘、挽車和載重的家畜', '原产于中亚草原的大型植食性家畜']"
hospital,bn:00044896n,"['病院', '医院', '醫院', '医务室']","['医院是治疗和护理病人的机构，也可執行健康检查、疾病预防等。', '提供醫療及患病休養服務的機構']"
house,bn:00044994n,"['房屋', '家屋', '住宅', '家', '房子']","['住宅，又稱家宅、房屋、房子，是供人居住的建築物，可能是簡單的小屋，也有可能是用木材、砌体结构、混凝土或其他建材建成的複雜建築物。', '一種建築物']"
island,bn:00047612n,"['海岛', '島嶼', '海島', '嶋', '島', '岛屿', '岛', '嶌']","['島嶼或島（英語：Island）是指於海洋、江河或湖泊中被水体圍繞，面积小于大陆的陆地区域。', '海洋、河流或湖泊中被水包圍的陸地']"
jewel,bn:00037606n,"['宝石', '寶石', '玉石', '美玉']","['寶石是被切割、打磨、抛光的礦物、石料、土化物體，為收集品、收藏品或穿著裝飾之用。', '被切割、擦润、抛光的矿物、石料、土化物体，为收集品、收藏品或穿著装饰之用']"
kettle,bn:00011829n,"['水壶', '壶', '燒水壺', '壺', '水壺']",['燒水壺，也称热水壶，是煮水的容器。']
key,bn:00048985n,"['钥匙', '鑰匙']","['鑰匙或鎖匙是一種与鎖对应的，用以开锁的工具，自4000年前已在古埃及出現。', '一種開鎖的工具。', '开锁用的东西，有的锁用了它才能锁上。']"
knee,bn:00006140n,"['膝', '膝关节', '膝盖']","['膝，俗稱膝蓋，為位于大小腿之间的连接部位。', '位於大小腿之間的連接部位。']"
knife,bn:00049322n,"['刀子', '刀', '小刀']","['小刀是小型的刀具，刀刃長度通常不超過成人的手掌，一般由刀片和刀柄两大部分构成。', '刀在中文中是用于切、割、削、砍、铡的多种工具及武器的泛称，通常带有用于手持的把手或柄，以及用于切削的刃。', '中文中是用於切、割、削、砍、鍘的多種工具及武器的泛稱。', '工具、武器']"
knot,bn:00049367n,"['繩結', '结', '节']",['繩結是一段或多段的一維可曲繞材料，經過編織、纏繞、而形成用來觀賞、應用的結構，而產生繩結的動作則稱為結繩。']
leaf,bn:00035596n,"['葉子', '叶', '叶子', '葉']","['叶（leaf，foliage）是较高等植物的营养器官，侧边发育自植物的茎的叶原基。', '植物的营养器官']"
leg,bn:00050541n,"['腿', '人腿', '人類腿部']",['人类腿部，或称人腿，一般指的是人体的整个下肢部分，包括足部、大腿甚至髋关节等。']
line,bn:00076373n,"['電視', '片', '視頻', '影片', '电视', '视频']","['电视（英語：Television，簡稱：TV）这词语代表三种不同的涵义，如：连续动态的影像和聲音转换为电子訊號，并通过各种渠道传输电子訊号后，再將电子訊號还原为影像和聲音的技术，即电视技术；指接收这种电子訊號的设备，即可以接收并还原电子訊號为连续动态的影像和声音的装置，即电视机；一种社会文化现象，特指人群之间、人群与人之间使用电视作为传播载体进行訊息交流、訊息传播，即所謂的廣播过程，诸如电视节目的制作、电视訊號的传输、接收，以及观众对于电视节目内容的评判和反馈等的各个方面。', '將動態影像以電訊號方式加以捕捉、紀錄、處理、儲存、傳送與重現的各種技術', '傳播和接收圖像的電信媒體']"
lip,bn:00051440n,"['唇', '嘴唇']",['唇，又稱喙唇或嘴脣，是在人類及許多動物的臉上一個明顯易見的器官，由上下兩脣構成。']
map,bn:00036821n,"['函数', '映射']","['映射（英語：map，mapping）或称射影、写像，在数学及相关的领域经常等同于函数。', '函数（英語：Function）是數學描述對應關係的一種特殊集合。', '数学的基本概念。', '数学二元关系，输入值集合中的每项元素皆能对应\u200b\u200b唯一一项输出值集合中的元素']"
match,bn:00036522n,['火柴'],"['火柴，又稱自來火、洋火棍或番仔火，是取火工具，利用某些物质的剧烈氧化还原反应，产生高温而发火燃烧。', '生火用具']"
monkey,bn:00055685n,"['猴子', '猴']","['猴，通常用於指稱新世界猴及舊世界猴。', '伊朗伊斯蘭共和國（波斯語：جمهوری اسلامی ایران\u200e，拉丁字母转写： Jomhuriye Eslâmiye Irân），简称伊朗（波斯語：ایران\u200e [ʔiːˈɾɒn] ），1501年之前称波斯，位于亚洲西南部，為中东地区國家，其中北部紧靠裏海、南瀕波斯灣和阿拉伯海。', '动物类型']"
moon,bn:00055813n,"['衛星', '月球', '月亮', '卫星']","['衛星，是環繞一顆行星按閉合軌道做週期性運行的天體。', '圍繞行星或其他較小的物體繞行直接繞恆星運行的天體']"
muscle,bn:00056377n,"['肌肉', '筋肉']",['肌肉（拉丁語：Musculus）是一種能收縮的動物組織，屬於軟組織，由胚胎的中胚層發育而來。']
nail,bn:00056727n,"['手指甲', '指甲', '脚趾甲']",['指（趾）甲，亦称指（趾）蓋、指（趾）甲蓋、指（趾）頭蓋等，分為手指甲（簡稱手甲）或脚趾甲（簡稱脚甲），是哺乳类动物长于肢体指前端的由皮肤角质层硬化的一层硬物，指（趾）甲的作用是保護末節指腹避免受損傷，維護其稳定性，增強手指触觉的敏感性。']
neck,bn:00017395n,"['頸項', '颈项', '颈', '脖子', '頸', '颈部', '頸部']","['頸（neck），又稱脖子、頷頸，是身體的一部份，通常指在生物中，身體連接頭和軀幹之間的那一部份。', '身體連接頭和軀幹之間的部份。']"
nerve,bn:00057322n,['神经'],['神經（英語：Nerve）是在周围神经系统中由聚集成束的神經纖維所组成的结构，一条神经内可包含一个或多个神经纤维束，神经外部有神经外膜包裹、内部有神经束膜隔开各纤维束。']
