fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
"['lune', 'Lune']","['Mond', 'Frau Luna', 'Luna', 'Erdmond']","['Луна', 'месяц']","['Luna', 'Moon', 'moon']","['月球', '月', '月亮']","['Luna', 'luna']",['月'],['달'],['Kuu'],"['Kuu', 'kuu']","['maan', 'Maan']","['चंद्रमा', 'चन्द्रमा']","['luna', 'Luna']",moon
"['aubier', 'bois']","['Splintholz', 'Holz']","['дерево', 'оболонь', 'лес', 'древеси́на', 'древесина', 'лесоматериа́л', 'де́рево']","['sap-wood', 'wood', 'sapwood', 'alburnum']","['木头', '木', '木材', '木料', '木頭']","['albura', 'sámago', 'madera']","['木材', '木']","['나무', '목재']","['puit', 'puu']","['pintapuu', 'puu', 'puuaines']","['hout', 'spinthout', 'houtsoort']","['लकड़ी', 'लक्डी', 'काठ', 'काष्ठ']","['legno', 'alburno', 'legname']",wood
"['hameau', 'village']","['Dorf', 'Ortschaft', 'Weiler', 'Dörfchen']","['село', 'деревня', 'слобода́', 'село́', 'кишла́к', 'ау́л', 'стани́ца', 'селе́ние', 'весца́', 'ху́тор', 'дере́вня', 'вёска', 'весь', 'ве́слина']","['village', 'hamlet']","['村', '乡庄', '鄉村', '村莊', '村落', '农村', '乡村', '屯落', '農村', '村庄', '村子', '鄉莊']","['caserío', 'pueblo', 'aldea', 'aldehuela']","['村', '村落', '田舎']","['마을', '촌락']",['küla'],"['kylä', 'pieni kylä']","['dorp', 'gehucht', 'gat', 'buurt', 'buurtschap', 'vlek']","['गाँव', 'गांव']","['paesello', 'borgo', 'paesino', 'frazione', 'villaggio', 'paese', 'borgata', 'casale', 'vico']",village
"['forêt', 'bois', 'brousse', 'Wälder', 'jungle']","['Busch', 'Wald', 'Forst', 'Wälder', 'Holz', 'Urwald', 'Dschungel']","['лес', 'джунгли']","['forrest', 'forest', 'wood', 'woods', 'Wälder', 'outback', 'jungle']","['林木', '树林', '樹林', '森林', '叢林', '密林', '丛林']","['bosque', 'Wälder', 'bosques', 'selva', 'floresta', 'jungla', 'Selva']","['森林', '森', 'セルバ', 'ジャングル']","['숲', '삼림', '밀림']","['laas', 'mets', 'Wälder', 'Džungel', 'džungel']","['metsä', 'Wälder', 'puu', 'puumaila', 'viidakko']","['bos', 'woud', 'Wälder', 'bosje', 'foreest', 'bush', 'rimboe', 'oerwoud', 'jungle']","['जंगल', 'वन']","['foresta', 'bosco', 'Wälder', 'selva', 'bosco misto', 'giungla']",forest
"['fruit', 'fruit charnu']","['Frucht', 'Saftfrucht']","['фрукт', 'плод', 'мягкотелый плод']","['fruit', 'fleshy fruit']","['水果', '果实', '果子']","['fruta', 'fruto']","['実', '果実', '液果']",['열매'],"['vili', 'puuvili']",['hedelmä'],"['vrucht', 'ooft', 'vlezig fruit', 'fruit', 'zaadbol']",['फल'],"['frutto', 'frutta carnosa', 'frutta']",fruit
"['eau', 'eaux', ""étendue d'eau""]","['Wasser', 'Gewässer']","['вода', 'воды', 'во́дное простра́нство', 'водоём', 'водный объект']","['water', 'body of water', 'waterbody']","['水', '水體', '水体']","['agua', 'cuerpo de agua', 'extensión de agua', 'masa de agua']","['水', '水域']","['물', '수역']","['vesi', 'veekogu']","['vesi', 'vedet', 'vesimuodostuma', 'vesialue']","['water', 'zoetwater', 'majem', 'wateren', 'waterlichaam']","['पानी', 'जल', 'जल निकाय']","['acqua', 'acque', ""corpo d'acqua"", ""bacino d'acqua"", ""massa d'acqua"", ""specchio d'acqua""]",water
['sable'],['Sand'],"['песок', 'песо́к']",['sand'],"['沙子', '砂', '沙']",['arena'],['砂'],['모래'],"['liiv', 'Liiv']",['hiekka'],"['zand', 'zavel', 'lef', 'zandstrand']","['रेत', 'बालू']","['sabbia', 'rena', 'arena']",sand
"['rivière', 'fleuve', 'courant', ""cours d'eau"", 'ruisseau', 'rupt', ""courant d'eau"", 'ru']","['Fluß', 'Fluss', 'Bach', 'Wasserlauf', 'Fließgewässer']","['река', 'водный путь', 'ручей', 'поток', 'ре́чка', 'водоток', 'пото́к', 'речу́шка', 'руче́й', 'система озёр']","['river', 'stream', 'watercourse', 'brook', 'lake system']","['河', '水流', '河流', '川', '江', '水道', '小河', '溪', '流水']","['río', 'ríos', 'arroyo', 'corriente', 'curso de agua', 'flujo']","['川', '流れ', '小川', '渓流', '水路']","['강', '시내', '물길', '내', '개울']","['jõgi', 'vooluveekogu', 'oja', 'Oja']","['joki', 'vesitie', 'vesistö', 'puro', 'väylä', 'vesireitti', 'noro', 'oja', 'virtavesi', 'virta']","['rivier', 'stroom', 'waterloop', 'beek', 'merensysteem', 'watergang']","['नदी', 'दरिया', 'रूद', 'जलस्रोत']","['fiume', ""corso d'acqua"", 'corrente', 'ruscello', 'rivo', 'torrente']",river
"['loi', 'droit']","['Recht', 'Gesetz']","['право', 'пра́вило', 'пра́во', 'зако́н', 'закон']","['law', 'jurisprudence']","['法律系统', '法律']","['derecho', 'ley', 'Derecho', 'jurisprudencia']",['法'],['법'],"['õigus', 'seadus']","['laki', 'juridiikka']","['wet', 'recht']","['कानून', 'नियम', 'विधि', 'क़ानून']","['diritto', 'legge', 'giurisprudenza', 'legislazione', 'corpo legislativo']",law
"['vague', 'onde']","['Meereswelle', 'Welle', 'Wasserwelle']","['морская волна', 'ветровые волны']","['sea wave', 'ocean surface wave', 'wave', 'moving ridge', 'wind wave']","['海浪', '波濤', '波', '波浪']","['ola', 'ola marina', 'onda']",['波'],['파도'],"['merelaine', 'Veelained', 'veelained']",['aalto'],"['zeegolven', 'vloeistofoppervlaktegolf', 'oppervlaktegolf', 'golf']","['लहर', 'महासागरीय तरंगे']","['onda marina', 'onda del mare', 'onda', 'flutto']",wave
"['milieu marin', 'océan']","['Meeresumwelt', 'Ozean']","['морская окружающая среда', 'океан']","['sea', 'body of water', 'bounding main', 'ocean', 'marine environment']","['海洋', '洋', '大洋']","['océano', 'ambiente marino', 'mar']","['大洋', '海洋']",['대양'],"['ookean', 'merekeskkond']","['valtameri', 'meriympäristö']","['mariene milieu', 'oceaan', 'plas', 'wereldzee']",['महासागर'],"['ambiente marino', 'oceano']",ocean
"['grotte', 'caverne']",['Höhle'],['пещера'],['cave'],"['洞穴', '洞窟', '石窟', '洞']","['caverna', 'cueva', 'gruta']",['洞窟'],['동굴'],['koobas'],"['luola', 'luolasto']","['hol', 'grot']",['गुफ़ा'],"['caverna', 'grotta', 'antro']",cave
['mer'],['Meer'],"['Мировой океан', 'море']",['sea'],"['海', '世界洋']","['mar', 'océano mundial', 'océano', 'mares']","['海', '世界の大洋']",['바다'],"['Maailmameri', 'meri']",['meri'],['zee'],"['समुद्र', 'सागर']","['mare', 'acque']",sea
['lac'],['See'],['озеро'],['lake'],"['湖', '湖泊']","['lago', 'lagos', 'estanque']",['湖'],['호수'],['järv'],['järvi'],['meer'],['झील'],['lago'],lake
"['flamme', 'feu', 'incendie']","['Flamme', 'Feuergarbe', 'Lohe', 'Feuer', 'Feuerzunge', 'Brand']","['огонь', 'пламя', 'по́лы́мя', 'пла́мень', 'пла́мя', 'Пламя', 'пожар']","['flame', 'fire', 'flaming']","['火', '火焰', '焚烧', '燃烧', '火舌', '焰', '火灾', '火災']","['fuego', 'llama', 'flama', 'lumbre', 'incendio']","['炎', '火', '火炎', '火災', '火事']","['불', '화염', '불꽃', '불길', '큰불', '화재']","['põleng', 'leek', 'Tuli', 'tuli', 'Leek']","['tuli', 'liekki', 'palo', 'tulipalo']","['vuur', 'fik', 'vlam', 'laai', 'brand', 'ontbranding']","['आग', 'अग्नि', 'आतिश', 'ज्वाला', 'शोला', 'लौ', 'लपट']","['fuoco', 'fiamma', 'incendio', 'rogo']",fire
"['point', 'Point', 'point final', 'Points', 'points', 'nombre de points', 'score']","['Punkt', 'Scorerpunkt', 'Spielergebnis', 'Spielstand']","['точка', 'знак препина́ния', 'то́чка', 'очко́', 'счёт', 'результа́т', 'очко', 'очки', 'Очки', 'балл']","['period', 'full stop', 'dot', 'point', 'stop', 'full point', 'score']","['丶部', '丶', '句号', '句點', '。', '句点', '句號', '得分', '分', '比分']","['punto', 'punto final', 'puntaje', 'puntuación', 'point', 'tantos']","['ポイント', '終止符', '句点', '点', 'ピリオド', '。', '得点', 'スコア']","['마침표', '포인트', '득점']","['punkt', 'skoor, punktiseis']","['piste', 'Piste', 'tehopiste', 'pistemäärä', 'Tehopiste']","['punt', 'puntkomma', 'dubbele punt', 'komma', 'oord', 'plaats', 'stand', 'doelpunt', 'locatie', 'winstpunt', 'tijdpunt', 'plek']","['बिंदु', 'दंड', 'पूर्ण विराम', '।']","['punto', 'punto fermo', 'stop', 'point', 'punteggio']",point
"['ballon', 'balle', 'ballon de football', 'bal']","['Ball', 'Fußball', 'Tanzball']","['мяч', 'футбольный мяч', 'бал']","['ball', 'association football ball', 'formal']","['球', '足球比赛用球', '舞会']","['pelota', 'bola', 'balón', 'pelota de fútbol', 'balón de fútbol', 'baile']","['ボール', 'サッカーボール', '舞踏会']","['공', '축구공', '무도회']","['pall', 'kera', 'ball', 'Ball']","['pallo', 'jalkapallo', 'tanssiaiset', 'Tanssiaiset']","['bal', 'voetbal']",['गेंद'],"['pallone', 'palla', 'pallone da calcio', 'ballo', 'veglione']",ball
"['peinture', 'artiste peintre', 'peintre', 'image', 'tableau']","['Abbild', 'Maler', 'Darstellung', 'Gemälde', 'Malerei']","['картина', 'образ', 'живопись', 'жи́вопись']","['image', 'picture', 'artist', 'painting', 'painter', 'art of painting']","['绘画', '畫作', '油漆', '繪畫', '画儿', '图画', '画']","['pintora', 'imagen', 'pintor', 'pintura', 'pintado', 'lienzo', 'cuadro']","['絵画', '画像', '画', 'タブロー', '絵画作品']",['회화'],"['maal', 'maalimine', 'maalikunst']","['kuva', 'maalaustaide', 'maalaus']","['schilder', 'verven', 'plaatje', 'schilderen', 'kunstschilder', 'afbeelding', 'schilderkunst', 'geschilder', 'schilderij', 'schilderstuk', 'schilderwerk', 'doek']","['चित्रकारी', 'चित्रकला']","['pittura', 'pittore', 'raffigurazione', 'immagine', 'dipinto', 'verniciatura', 'quadro']",painting
"['riziculteur', 'riz', 'riz paddy']",['Reis'],['рис'],"['rice farmer', 'rice', 'rice grower', 'Rice gadu']","['稻米', '米', '稻', '稻子']",['arroz'],"['米', '稲']","['쌀', '벼']",['riis'],"['riisi', 'riisikasvi']","['rijst', 'rijstboer', 'Aziatische rijst']","['चावल', 'तंडुल', 'धान', 'भात']","['riso', 'risicoltore', 'risicultore']",rice
['rouge'],['Rot'],"['красный', 'красный цвет', 'кра́сный']","['red', 'redness']","['红色', '紅色']","['rojo', 'roja', 'rojez']",['赤'],"['빨강', '빨간색']",['punane'],"['punainen', 'punaisuus']","['rood', 'keel']",['लाल'],['rosso'],red
"['réseau', 'filet', 'réseau informatique', 'maille de tricot', 'maillage', 'tissus', 'piège', 'trappe', ""toile d'araignée"", ""fil d'araignée"", 'arantèle', 'toile d’araignée', 'toile']","['Netzwerk', 'Rechnernetz', 'Computernetzwerk', 'Netz', 'Gittergewebe', 'Gitter', 'Falle', 'Spinnennetz', 'Spinnwebe', 'Spinngewebe', 'Spinnengewebe']","['компьютерная сеть', 'мерёжа', 'Сетка', 'мре́жа', 'се́тка', 'сеть', 'паутина', 'Ловчая сеть', 'паути́на']","['net', 'computer network', 'mesh', 'network', 'meshwork', 'meshing', 'knitting stitch', 'snare', 'hook', 'trap', ""spider's web"", 'cobweb', 'spiderweb', 'spider web', 'web']","['電腦網路', '计算机网络', '網', '筛', '网孔', '网', '網孔', '陷阱', '圈套', '蜘蛛网', '蛛網', '蜘蛛網', '蛛网']","['malla', 'red informática', 'red de computadoras', 'red', 'red de ordenadores', 'rejilla', 'trampa', 'cepo', 'telaraña', 'tela de araña']","['コンピュータ・ネットワーク', '編', '網', 'メッシュ', '罠', 'クモの網', '蜘蛛の巣', 'くもの巣', 'クモの巣']","['그물', '망', '거미줄']","['võrk', 'ämblikuvõrk', 'Ämblikuvõrk']","['verkko', 'seula', 'ansa', 'hämähäkinverkko', 'Hämähäkinverkko', 'hämähäkinseitti', 'seitti', 'lukinseitti']","['gaas', 'computernetwerk', 'netwerk', 'net', 'breisteek', 'vangnet', 'val', 'klem', 'zwanenhals', 'web', 'spinrag', 'spinnenweb']","['जाल', 'जाला', 'मकड़ी का जाल']","['rete', 'rete di calcolatori', 'rete informatica', 'maglia', 'reti', 'trappola', 'ragnatela', 'tela di ragno']",net
"['thé', 'feuille de thé']","['Tee', 'Teeblatt', 'Teeblätter']","['чай', 'ча́йные ли́стья', 'ча́йный лист']","['tea', 'tea leaf']","['茶', '红茶', '茶叶', '茶葉']","['té', 'tisana', 'infusión', 'hoja de té']","['茶', '茶葉', 'お茶っ葉']","['차', '차잎', '찻잎', '다엽']",['tee'],"['tee', 'teelehti', 'teenlehdet', 'teenlehti']","['thee', 'theeblad']",['चाय'],"['tè', 'thè', 'foglia di tè']",tea
"['pied', 'jambe', 'jambes', 'membre inférieur humain']","['Fuß', 'Pes', 'Bein', 'Beine', 'menschliches Bein']","['стопа', 'нога', 'нога человека', 'Нога человека']","['human foot', 'foot', 'pes', 'Pes', 'Foot', 'pin', 'leg', 'legs', 'human leg']","['腳', '脚', '脚部', '足', '腿', '人腿', '人類腿部']","['pie', 'pes', 'pata', 'pierna', 'piernas', 'miembro inferior', 'miembro inferior humano']","['ペス', '足', '脚']","['발', '다리', '사람의 다리']",['Labajalg'],"['jalkaterä', 'jalka', 'sääri']","['voet', 'voeten', 'poot', 'pootje', 'benen', 'stelt', 'been', 'menselijke been', 'onderdanen', 'onderdaan']","['पैर', 'पाया', 'पांव']","['piede', 'gambe', 'gamba', 'arto inferiore umano', 'arto inferiore']",foot
['or'],['Gold'],['золото'],"['gold', 'Au']","['黃金', '黄金', '金', '金子']",['oro'],['金'],['금'],['kuld'],"['kulta', 'Au']",['goud'],['सोना'],['oro'],gold
"['encadrement de porte', 'porte', 'portière', 'huis']","['Türfutter', 'Türrahmen', 'Tor', 'Türzarge', 'Türen', 'Tür', 'Türe']","['две́ри', 'дверь']","['door case', 'doorcase', 'door', 'door frame', 'doorway', 'doorframe']","['戶', '門', '门', '门儿', '門兒', '門扉']","['puerta', 'marco de puerta', 'seguro']","['門', 'ドア', '扉', '戸', '戸口']",['문'],['uks'],['ovi'],"['poort', 'portier', 'deur']","['दरवाजा', 'द्वार', 'दरवाज़ा', 'दर', 'प्रवेश']","['telaio della porta', 'porta', 'portiera', 'uscio', 'sportello']",door
"['neige', 'couche de neige', 'chute de neige', 'glace']","['Schneedecke', 'Schneefall', 'Schnee', 'Eis']","['снегопад', 'снег', 'лед', 'лёд']","['snow cover', 'snow', 'snowfall', 'snow mantle', 'ice', 'water ice']","['雪', '下雪', '降雪', '冰', '冰块']","['nevada', 'capa de nieve', 'nieve', 'nevar', 'hielo']","['雪', '降雪', 'ゆき', '氷']","['눈', '얼음']","['lumi', 'jää']","['lumi', 'lumisade', 'jää', 'jäätynyt vesi']","['sneeuw', 'sneeuwlaag', 'sneeuwval', 'sneeuwwit', 'sneeuwen', 'ijs', 'roomijs', 'waterijs']","['बर्फ', 'हिम', 'हिमपात', 'बर्फ़', 'बरफ़', 'यख़']","['nevicata', 'caduta di neve', 'neve', 'ghiaccio']",snow
"['cheval', 'equus caballus']","['Gaul', 'Pferd', 'Ross', 'Hauspferd']","['лошадь', 'домашняя лошадь']","['horse', 'Equus caballus']","['馬', '马']","['caballo', 'Equus ferus caballus', 'yegua', 'equinos']","['馬', 'ウマ', 'Equus caballus']",['말'],['hobune'],"['hevonen', 'Equus caballus']","['paard', 'peerd', 'viervoeter', 'ros']",['घोड़ा'],"['cavallo', 'Equus ferus caballus', 'Equus caballus']",horse
"['un', 'Un']","['eins', 'Eins', 'ein']","['один', 'одно́', 'раз', 'оди́н', 'одна́', 'едини́ца']","['one', 'ace', 'unity', 'I', 'single', 'Numero Uno']",['一'],"['uno', 'es', 'dos']","['一', '一つ']","['한', '하나', '일']","['üks', 'Üks']","['yksi', 'ykkönen', 'I']","['één', 'een', 'i', 'twee']","['एक', 'इक']",['uno'],one
['deux'],"['zwei', 'Zwei']","['двойка', 'дво́йка', 'две', 'два', 'дво́е']","['two', 'deuce', 'II']","['貳', '二', '贰', '两', '兩']",['dos'],"['二', '二つ']","['둘', '이', '두']","['kaks', 'Kaks']","['kakkonen', 'kaksi', 'II']",['twee'],"['दो', 'द्वि', 'दुई']",['due'],two
"['cinq', 'quintette']","['fünf', 'Fünf']",['пять'],"['five', 'fin', 'fivesome', 'quintet', 'cinque', 'quint', 'pentad', 'V', 'Phoebe', 'quintuplet', 'Little Phoebe']",['五'],"['cinco', 'quint', 'cinque']",['五'],"['오', '다섯']","['viis', 'Viis']","['viisi', 'V']","['vijf', 'quintool', 'vijftal']",['पाँच'],"['cinque', 'V']",five
"['six', 'demi-douzaine', 'sextuor']","['Schwindler', 'sechs', 'halbes Dutzend']","['шесть', 'полдю́жины', 'ше́стеро']","['six', 'half a dozen', 'sextuplet', 'VI', 'Captain Hicks', 'sise', 'sextet', 'hexad', 'sixer', 'sestet']",['六'],"['seis', 'Sexteto de música', 'sixer', 'sexteto', 'sise', 'hexad', 'sestet']","['六', 'シックス', '六つ']","['륙', '여섯', '육']","['kuus', 'Kuus']","['kuusi', 'puoli tusinaa', 'sekstetti', 'kuusikko', 'Captain Hicks', 'VI', 'heksa', 'kuutonen']","['zes', 'sextool']","['छह', 'छः']","['sei', 'sestetto']",six
['huit'],"['acht', 'Acht']",['восемь'],"['eight', 'octonary', 'ogdoad', 'VIII', 'octet', 'eighter', 'eighter from Decatur', 'octad']",['八'],"['ocho', 'octad']",['八'],['여덟'],"['kaheksa', 'Kaheksa']","['kahdeksan', 'VIII', 'kahdeksikko']",['acht'],['आठ'],['otto'],eight
"['dix', 'dizaine', 'décennie']","['zehn', 'Zehn']","['десять', 'де́сять', 'де́сятеро']","['ten', 'decade', 'tenner', 'X']","['拾', '十']","['diez', 'decena', 'década']",['十'],"['열', '십']",['kümme'],"['kymmenen', 'kymppi', 'dekadi', 'kybä', 'X', 'kypä']","['tien', 'tientje']","['दस', 'दश', 'दह']",['dieci'],ten
['tête'],"['Haupt', 'Kopf']","['голова', 'глава́', 'башка́', 'голова́']","['head', 'caput']","['脑袋', '头部', '頭子', '頭部', '头子', '頭', '腦袋', '首', '头', '头脑', '頭腦']","['mente', 'cabeza', 'marote', 'melón', 'testa', 'sesera', 'coco', 'sabiola', 'tarro', 'maceta', 'chola', 'punta']","['頭', '頭部']",['머리'],['pea'],"['pää', 'lanttu', 'kallo']","['kop', 'hoofd', 'baas', 'bazin', 'leider', 'op uw plaatsen, klaar, af!']","['सिर', 'सर']","['testa', 'capo', 'capoccia', 'zucca', 'chiorba', 'cranio']",head
